t,"dh_htf,ALL"
2023-01-01 01:00:00,-42.778055555555554
2023-01-01 02:00:00,-44.16694444444444
2023-01-01 03:00:00,-42.2225
2023-01-01 04:00:00,-41.38916666666667
2023-01-01 05:00:00,-41.11138888888889
2023-01-01 06:00:00,-43.61138888888888
2023-01-01 07:00:00,-44.16694444444444
2023-01-01 08:00:00,-44.16694444444444
2023-01-01 09:00:00,-43.88916666666667
2023-01-01 10:00:00,-45.278055555555554
2023-01-01 11:00:00,-46.38916666666667
2023-01-01 12:00:00,-46.944722222222225
2023-01-01 13:00:00,-47.2225
2023-01-01 14:00:00,-48.61138888888889
2023-01-01 15:00:00,-49.444722222222225
2023-01-01 16:00:00,-51.11138888888888
2023-01-01 17:00:00,-51.66694444444444
2023-01-01 18:00:00,-51.66694444444444
2023-01-01 19:00:00,-53.61138888888888
2023-01-01 20:00:00,-53.633333333333326
2023-01-01 21:00:00,-52.251666666666665
2023-01-01 22:00:00,-50.015
2023-01-01 23:00:00,-50.74944444444444
