t,"elc_spot,ALL"
2023-01-01 01:00:00,2.01
2023-01-01 02:00:00,1.38
2023-01-01 03:00:00,0.09
2023-01-01 04:00:00,0.08
2023-01-01 05:00:00,0.05
2023-01-01 06:00:00,0.08
2023-01-01 07:00:00,0.09
2023-01-01 08:00:00,0.53
2023-01-01 09:00:00,2.03
2023-01-01 10:00:00,3.1
2023-01-01 11:00:00,4.43
2023-01-01 12:00:00,6.06
2023-01-01 13:00:00,6.06
2023-01-01 14:00:00,5.68
2023-01-01 15:00:00,17.71
2023-01-01 16:00:00,24.11
2023-01-01 17:00:00,36.54
2023-01-01 18:00:00,46.03
2023-01-01 19:00:00,55.57
2023-01-01 20:00:00,54.95
2023-01-01 21:00:00,49.23
2023-01-01 22:00:00,44.99
2023-01-01 23:00:00,45.96
