process,is_cf,is_cf_fix,is_online,is_res,conversion,eff,load_min,load_max,start_cost,min_online,min_offline,max_online,max_offline,initial_state,scenario_independent_online,delay
solar_collector,1,0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0
malervej_boiler1,0,0,0,0,1,0.8,0,1,0,0,0,0,0,0,0,0
malervej_boiler2,0,0,0,0,1,0.8,0,1,0,0,0,0,0,0,0,0
helges_hoj_boiler,0,0,0,0,1,0.8,0,1,0,0,0,0,0,0,0,0
molleholmen_boiler1,0,0,0,0,1,0.8,0,1,0,0,0,0,0,0,0,0
molleholmen_boiler2,0,0,0,0,1,0.8,0,1,0,0,0,0,0,0,0,0
HP_rock,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_EVC,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_City2,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_Nordea,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_Mohov,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_globalconnect1,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_globalconnect2,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_EVC2,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
HP_copenhagen_markets,0,0,0,0,1,3.0,0,1,0,0,0,0,0,0,0,0
pit_sto_charge,0,0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0
pit_sto_discharge,0,0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0
